Date,Local Route,Light Rail,Peak Service,Rapid Route,School,Other
10/10/2020,2518,4152,0,5776,0,19
29/04/2023,3499,5626,0,7487,0,31
24/10/2021,1236,1741,0,2807,0,16
07/04/2021,11733,8605,292,15283,0,50
21/03/2021,1903,2741,0,4100,3,30
15/03/2022,14148,8159,250,15778,4983,57
31/05/2024,14447,9308,232,16335,4022,63
20/07/2023,15696,10831,340,18860,4967,100
15/08/2019,19383,12433,423,26122,5532,0
27/10/2022,14997,9650,255,16857,4129,63
19/08/2019,18332,11412,461,24242,5646,0
18/02/2023,4453,12927,0,11591,0,17
02/06/2024,2748,4495,0,6210,0,31
27/07/2021,15886,9178,315,16923,5688,77
15/10/2021,3542,1892,28,3579,0,29
13/02/2023,16429,10544,342,18785,5460,116
19/09/2024,16129,10469,288,19650,4557,93
06/03/2024,19295,12777,414,22585,6145,103
21/11/2020,3049,4802,0,6306,0,21
16/11/2020,12808,6968,228,12879,4762,37
28/05/2024,17388,10862,405,19336,5180,76
23/03/2020,10418,4666,256,12058,4119,1
09/01/2020,11208,8572,318,16730,0,0
25/04/2022,1675,3039,0,4089,0,11
15/05/2022,1733,3050,0,4560,0,26
30/07/2023,2694,5370,0,6621,0,18
20/05/2022,13225,8420,168,15030,3992,60
14/04/2020,2985,1637,47,3631,0,1
15/06/2024,4493,5491,0,8024,0,26
14/11/2021,1462,2109,0,3289,0,16
22/12/2019,2785,3974,0,5481,0,0
12/10/2023,16645,10955,318,19732,5263,88
09/09/2021,2295,878,19,2177,0,26
13/12/2023,14323,10425,337,17795,899,69
09/03/2023,17194,11597,320,21456,5199,123
27/12/2022,2355,3301,0,4917,0,10
25/08/2020,11942,6103,186,11884,5176,46
17/05/2023,16175,11031,404,19560,4910,93
22/01/2022,2402,3283,0,4831,0,37
16/09/2023,4245,7021,0,9361,0,23
05/09/2019,18911,11382,451,24641,5685,0
18/11/2022,14192,9730,179,16351,3768,60
20/08/2022,3257,5240,0,7161,0,19
05/08/2020,11328,5680,168,11624,5320,55
28/08/2021,735,566,0,1081,0,7
29/11/2021,10741,6438,181,11422,4195,51
29/03/2021,15448,8964,283,16476,5744,70
25/06/2024,15358,10217,325,18228,4487,54
23/05/2021,2135,3430,0,4664,0,54
27/03/2021,3224,5581,0,6530,0,19
02/10/2019,15001,12534,458,24050,0,0
09/12/2019,16216,10994,428,22018,3790,0
19/02/2023,2750,7532,0,8097,0,17
05/09/2023,15995,10805,387,20085,4808,61
23/01/2020,12963,9891,448,19874,0,0
23/12/2021,6891,4653,83,8183,0,28
01/07/2019,15987,9962,407,21223,3715,
03/08/2021,15630,8950,323,16981,5399,49
27/05/2024,2790,4347,0,6192,0,13
25/05/2021,16514,9619,328,17408,5388,88
07/02/2023,16880,11128,346,20140,6132,127
12/08/2019,18699,11379,470,24549,5823,0
14/09/2021,2367,936,23,2300,0,22
30/05/2021,2123,3480,0,4871,0,33
29/12/2020,4909,3966,15,5777,0,37
08/10/2022,3193,5198,0,6824,0,23
24/10/2023,16885,10819,404,19566,5203,61
07/01/2024,2504,4610,0,5468,0,28
13/01/2023,10558,8270,188,13371,0,43
30/03/2020,3175,1776,83,4246,66,1
12/01/2020,2284,3285,0,4916,0,1
09/03/2024,4486,6634,0,9896,0,21
22/10/2022,2859,4365,0,6086,0,16
20/01/2022,6598,4140,93,7647,0,34
08/11/2022,15211,9628,263,16764,4334,72
21/11/2019,18011,11230,438,23009,5362,1
08/08/2021,1956,3094,0,4346,0,26
04/07/2022,8969,7382,204,12245,0,52
10/07/2022,1859,3402,0,4810,0,14
13/09/2019,18071,12974,336,23475,5376,0
03/06/2022,12913,8520,193,14151,4191,51
27/12/2021,1561,2038,0,3406,3,20
27/02/2020,21070,13081,488,28678,6435,0
08/02/2022,12201,6345,135,11943,5865,84
10/08/2019,4836,5422,0,7219,0,
24/05/2020,1196,1694,0,2551,0,0
04/12/2022,2481,4081,0,5865,0,19
22/12/2022,9127,6749,150,11528,0,73
01/07/2023,3681,5526,0,8276,0,17
22/12/2021,8074,5410,122,9419,0,55
22/01/2020,13661,10327,456,20720,0,0
17/10/2022,14247,9179,244,15913,4754,78
01/06/2020,1322,1648,0,2850,0,1
14/11/2023,16134,10950,363,19270,4862,84
22/01/2024,12072,9019,333,15175,0,81
23/10/2021,1832,2356,0,3703,0,15
05/03/2023,2729,4356,0,6234,0,23
06/07/2023,11291,9204,302,15537,0,60
15/07/2024,11369,8161,275,15282,0,74
16/03/2024,4702,7521,0,10690,1,21
19/04/2024,12975,10718,298,17709,0,83
25/12/2023,315,1028,0,759,0,0
02/04/2023,2523,4367,0,6804,0,15
23/09/2023,4117,7197,0,9681,0,29
04/04/2020,943,877,0,1592,0,0
02/02/2020,2861,3732,0,5437,0,0
07/04/2024,2814,5058,0,6904,0,26
09/06/2023,15029,10092,263,17269,4393,74
25/04/2020,863,944,0,1540,0,0
08/04/2022,12639,7956,190,13976,4039,48
18/06/2020,9658,5267,151,10691,4895,7
11/06/2021,14834,9153,210,16181,4912,58
13/08/2024,17482,11274,369,21350,4838,75
20/05/2023,3846,5946,0,7858,0,19
16/11/2022,14257,9527,281,16565,4184,98
12/11/2021,9123,5189,113,9312,3660,57
04/11/2023,4057,5780,0,8807,0,26
15/04/2023,3868,5739,0,7922,0,24
26/11/2021,10451,6524,113,11230,3746,63
01/05/2023,15828,10402,327,18694,5447,73
28/07/2019,4187,4398,0,5751,0,3
23/08/2024,16418,10875,266,19091,4616,66
23/08/2020,1657,2419,0,3710,0,21
13/04/2021,11968,8770,313,15654,0,70
29/03/2024,1682,4101,0,4065,0,10
08/05/2021,3305,4974,0,6662,0,35
10/06/2023,3736,5793,0,7739,0,16
29/10/2019,18619,12012,461,24841,5947,0
31/12/2020,5296,4955,12,5831,0,34
07/09/2019,4965,6261,0,7801,0,0
30/09/2022,10526,9139,138,14264,0,72
26/09/2023,12828,11047,324,18995,0,61
17/02/2023,16365,13887,252,20392,5262,94
26/03/2022,3022,4629,0,6642,0,19
03/02/2022,11957,6060,114,11081,5967,50
20/01/2020,11782,9473,346,18310,0,0
15/02/2024,18944,11412,354,21118,6354,103
16/12/2020,12534,8169,227,13561,979,53
05/02/2024,16684,9629,350,18049,4819,99
05/01/2024,9662,9746,146,11635,0,116
21/08/2023,15616,10487,364,19386,4704,162
20/06/2020,1998,3158,0,4367,0,7
18/08/2020,11925,5890,174,11641,5133,83
21/10/2020,13539,6988,285,13699,5329,49
11/12/2019,17135,11696,415,22494,2750,0
21/01/2023,3561,6983,0,7272,0,25
16/01/2022,1602,2180,0,3427,0,15
13/09/2023,16428,11052,358,19750,4760,75
05/10/2023,12733,10257,312,17789,0,54
26/01/2020,2681,4215,0,5776,0,2
14/08/2024,17174,11025,351,20487,4889,51
31/07/2023,15938,10820,386,19660,4862,84
07/07/2019,4065,4332,0,5426,0,
30/10/2021,2254,3294,0,4623,0,11
22/10/2023,2698,4627,0,6518,0,20
29/08/2019,19565,12286,427,25376,5492,0
22/04/2023,3796,6505,0,8581,0,14
18/03/2021,16701,9561,315,18249,5861,85
21/12/2023,11612,8381,245,14129,0,80
22/03/2021,15025,8181,290,15489,5451,62
30/12/2022,6087,4489,17,6931,0,34
03/09/2023,2449,4609,0,6658,0,26
11/09/2019,18887,11664,446,24581,5779,2
02/07/2019,16895,10656,409,21715,3993,
24/03/2024,2919,4989,0,7052,0,20
30/05/2020,1736,2559,0,3662,0,2
20/01/2024,4044,5834,0,7458,0,26
27/12/2019,5852,4999,21,7343,0,0
14/12/2023,14324,10223,304,17282,771,59
30/10/2019,18782,11736,451,25038,5822,0
09/07/2022,2878,4941,0,5986,0,16
11/11/2022,14462,9657,209,16327,3927,54
29/11/2020,2133,3417,0,4919,0,21
16/07/2024,11828,9388,299,16126,0,60
08/09/2021,2191,928,22,2114,0,22
28/02/2024,19621,12291,432,22583,6050,90
10/06/2020,9267,4752,127,9748,5022,1
03/10/2023,12225,10204,307,17980,0,63
14/03/2020,3163,4956,0,7621,0,0
09/04/2023,1975,3692,0,5264,0,11
22/05/2020,6527,3109,81,6952,2402,0
10/05/2021,15851,9073,303,17096,5369,90
30/11/2019,3801,6095,0,8498,0,0
22/02/2020,4676,15154,0,14048,4,0
23/03/2024,4405,6986,0,9018,0,29
20/09/2020,1727,2345,0,3534,0,18
16/08/2020,1760,2609,0,3573,0,22
12/05/2022,12449,7602,250,13954,4386,56
24/05/2023,15945,10982,373,19285,4931,61
24/02/2021,16729,9315,333,17840,6105,95
18/08/2022,12858,8812,223,15507,1731,47
04/07/2023,10995,8859,343,15424,0,61
03/04/2022,2052,3363,0,5203,0,56
24/11/2023,14997,10483,258,18507,4237,80
29/03/2023,15149,10538,346,18834,5110,86
24/08/2022,14179,9035,269,16214,4414,67
16/03/2021,16977,9505,328,18352,5813,75
14/07/2020,6654,5072,119,9775,0,4
18/10/2023,17130,11051,384,20557,5272,77
15/09/2019,3921,5051,0,6608,0,14
15/02/2023,17335,11438,338,20661,5694,108
18/02/2024,3263,6234,0,8031,0,19
27/07/2023,16528,11498,309,19857,4836,116
03/12/2022,3769,5702,0,8372,0,49
15/01/2022,2138,2727,0,4133,0,16
31/12/2023,2389,4620,0,5641,0,8
21/04/2024,2710,4752,0,6433,0,22
29/07/2020,11780,6020,185,11809,5454,44
04/09/2019,18691,11263,464,24375,5600,1
25/10/2019,18034,12547,327,24658,5082,44
02/06/2023,15276,10321,282,17779,4674,78
09/02/2021,16667,9031,301,17252,6533,75
17/04/2023,11622,9407,329,16589,0,61
25/10/2022,15055,9619,248,17153,4420,82
04/07/2019,16604,10445,437,21868,3576,
25/07/2021,1869,2673,0,4102,0,20
21/10/2023,4420,6739,0,8622,0,22
30/07/2020,11668,5992,134,11538,5341,70
19/01/2021,10546,5565,283,13358,0,49
07/06/2020,1349,2101,0,2884,0,1
31/03/2022,13451,8495,248,15075,4955,62
12/12/2022,10669,7677,230,13056,542,74
14/08/2023,15304,10222,378,19000,4492,81
08/03/2021,2252,3175,0,4576,0,24
29/09/2019,2781,5347,0,7669,0,3
17/08/2024,4891,5814,0,8241,0,22
12/02/2020,20332,12188,475,26961,7082,0
08/07/2019,13078,9442,422,18848,0,0
06/06/2020,1832,2808,0,3956,0,2
21/05/2020,6428,3096,79,6671,2663,0
10/08/2022,14125,9218,193,16583,4486,52
19/09/2022,13602,9159,223,15491,4288,111
28/11/2021,1820,2837,0,4416,0,20
16/01/2023,11079,7737,251,14190,0,48
03/02/2023,15774,10575,258,17906,5667,64
17/07/2019,13768,10689,428,20550,0,0
20/02/2022,2036,3038,0,4399,0,21
17/10/2020,2703,3865,0,5492,0,15
10/07/2019,13856,10066,421,19502,0,1
02/03/2024,4603,7170,0,10062,0,15
07/09/2024,4607,6317,0,8659,0,21
31/12/2019,5756,4911,30,7016,0,1
11/12/2020,12982,8995,195,14731,2279,58
22/04/2020,3015,1756,40,3826,0,0
26/06/2020,9324,6000,120,10843,4499,2
12/01/2021,6121,5468,127,7538,0,16
13/06/2020,1895,2954,0,4199,0,0
04/04/2021,1744,2986,0,3891,0,23
12/03/2022,3099,4842,0,6933,0,21
20/06/2022,11883,8121,231,13980,3991,47
15/07/2021,14865,8811,276,15373,5263,88
21/10/2022,13653,9277,190,15335,4210,127
06/05/2024,17101,10793,357,19639,5710,68
18/01/2024,12049,9418,302,15595,0,77
24/06/2021,12056,7920,282,14017,3271,66
03/05/2021,16093,8837,314,16855,5557,54
30/05/2022,1652,2453,0,3643,0,13
03/03/2020,19623,12961,514,27706,2551,0
26/05/2023,15122,10315,255,17572,4608,70
18/12/2020,11979,8632,207,13934,619,57
30/11/2023,15365,10535,327,18023,3973,77
06/06/2024,16242,9950,305,18375,4846,83
01/01/2021,1256,2434,0,2608,0,13
19/08/2024,16804,10456,312,19296,4748,89
07/09/2022,14107,9135,266,15984,4338,69
20/04/2022,9682,7575,238,13207,0,48
08/08/2020,1762,2550,0,4264,0,17
31/07/2024,17434,11498,342,20937,4846,77
28/11/2020,3122,4606,0,6059,0,16
15/09/2024,2612,4609,0,7040,0,25
14/06/2024,16193,9984,237,17784,4826,57
03/08/2023,16472,11773,320,20434,4769,113
25/07/2022,12959,8398,208,14429,4763,51
22/09/2023,15586,11462,268,19346,3798,51
09/11/2020,13296,6869,242,13461,4768,52
28/01/2024,2723,4251,0,5870,0,21
16/05/2024,17970,11262,312,20001,5113,92
12/09/2021,538,501,0,1059,0,8
24/08/2024,4728,6362,0,8397,0,21
16/06/2021,14752,8957,301,16002,4916,68
16/07/2022,2823,4503,0,6346,0,19
16/11/2023,16244,10551,322,19043,4824,79
17/01/2023,11574,8730,275,15009,0,59
23/10/2019,18895,12716,467,26133,5445,0
07/02/2020,19368,12300,382,24486,6794,0
30/07/2021,15531,9164,236,16405,5201,62
31/10/2019,19023,12231,424,24632,5652,0
13/03/2023,2663,4465,0,6395,0,8
29/07/2022,13216,8693,178,14737,4336,59
22/07/2021,15589,9013,292,16465,5461,114
29/06/2021,10292,7197,279,13043,0,37
21/05/2022,3102,4821,0,6478,0,19
06/10/2022,9972,8005,194,13508,0,62
18/05/2021,16492,9542,350,17753,5362,69
02/11/2023,16156,9339,278,18770,4909,73
02/07/2022,2463,4217,0,5900,0,26
18/04/2020,985,1364,0,1830,0,0
24/07/2021,2866,3814,0,5721,0,77
22/09/2022,2171,4388,0,5727,0,18
02/05/2023,16492,11321,419,20342,5357,78
26/02/2024,18130,11446,408,20579,5812,68
31/07/2020,11670,6433,131,11738,4386,46
02/12/2019,15928,10800,441,22012,5002,0
26/02/2020,20972,13015,478,28359,6518,1
01/09/2022,14390,9107,221,16216,4235,38
02/08/2023,16567,11589,367,20965,4713,102
31/05/2021,2302,3116,0,4712,0,25
25/09/2022,2195,4683,0,6002,0,19
09/09/2022,11324,5298,182,14359,1154,56
16/02/2024,17945,12473,262,20870,5612,108
29/06/2020,8594,5084,149,10213,3530,3
30/07/2024,17479,11537,368,21068,5059,77
31/03/2023,15474,10997,264,19069,4840,61
07/06/2024,15710,9714,230,17105,4727,69
28/09/2019,3638,7256,0,9799,0,4
29/07/2024,16772,10399,313,19741,5099,78
28/03/2021,2286,3552,0,4928,0,31
02/04/2024,16801,10330,410,19969,5478,142
28/06/2023,12261,9066,350,15805,2574,68
12/11/2019,18612,12023,481,24790,5741,10
01/04/2023,4092,5835,0,8656,0,28
08/03/2024,17752,11944,318,21830,5580,92
15/08/2021,525,526,0,906,0,10
13/04/2023,11910,9464,324,16443,0,57
24/12/2021,4877,3422,29,6010,0,25
23/02/2022,13157,7269,161,13136,5415,100
10/10/2019,14887,11849,389,23700,0,0
02/09/2023,3959,6385,0,9125,0,13
03/10/2022,2168,4046,0,5659,0,13
15/03/2021,16570,9384,354,17731,5693,57
08/04/2021,11836,8604,262,15243,0,69
09/11/2022,15356,9747,284,16491,4341,71
25/04/2024,2425,4726,0,6122,0,19
26/07/2021,14918,8563,295,15651,5557,57
26/11/2022,4063,9014,0,8471,0,26
15/11/2022,14825,9797,261,16820,4113,71
27/07/2020,9904,4865,157,9922,5038,25
25/08/2023,15613,11094,296,19360,4445,74
16/10/2019,19025,12516,435,26062,5862,1
21/07/2020,11431,5706,148,11239,5160,29
03/10/2021,594,691,0,1311,0,10
22/05/2021,3257,4849,0,6541,0,42
31/01/2023,15316,10196,297,17918,3664,54
02/09/2022,13829,9212,152,15371,4291,53
19/09/2023,16511,11677,357,20607,4863,75
03/03/2024,2954,5261,0,7208,0,23
12/06/2024,17166,10623,364,19041,5116,70
31/10/2021,1558,2212,0,3307,0,16
13/06/2024,16966,10391,343,18676,4888,94
15/12/2020,12627,8322,266,14088,1135,46
19/11/2023,2852,4704,0,6737,0,20
05/02/2020,19625,11974,423,25010,7208,0
15/01/2021,10317,5360,175,12170,0,47
05/07/2021,10261,7354,256,13077,0,27
26/08/2024,16344,10408,323,19329,4935,65
13/08/2019,19097,12372,468,26757,5716,0
31/03/2024,2282,4375,0,5925,0,6
11/01/2021,4199,5553,110,3843,0,2
02/06/2021,16489,9620,305,17913,5512,110
27/01/2021,10770,7068,282,13369,0,51
29/05/2024,17508,10878,389,19124,5264,66
19/12/2021,1585,2348,0,3549,0,40
07/11/2019,18777,12046,473,24991,5639,0
12/07/2020,1381,2284,0,3311,0,2
05/06/2021,3279,4610,0,6389,0,37
05/11/2020,12251,6152,212,12220,4789,54
10/06/2022,12698,8385,193,14180,3862,48
03/11/2023,16077,10796,259,18509,4585,70
03/11/2022,14796,9131,232,16373,4190,88
24/05/2024,16631,10638,252,18396,4345,63
10/09/2024,16727,10665,366,19896,4629,73
05/04/2020,746,744,0,1289,0,3
11/05/2024,4207,5358,0,7194,0,16
26/09/2024,9,0,0,0,2,
06/01/2022,5438,3846,50,6286,0,26
27/05/2020,7619,3700,99,7974,4084,1
28/12/2022,5505,4082,20,6369,0,41
14/02/2024,19121,11890,418,22017,6312,134
25/06/2023,2380,4256,0,5770,0,24
09/05/2021,2063,3493,0,4627,0,24
25/02/2021,16339,9267,301,17560,5829,110
29/08/2020,2266,3880,0,5153,0,14
11/10/2019,14293,12071,285,22457,0,0
06/04/2021,11113,8226,318,14590,0,59
26/09/2020,2377,3749,0,5286,0,17
26/12/2019,2804,4987,0,6726,0,0
09/07/2021,10476,8172,193,13363,0,40
11/10/2020,1846,2842,0,4107,0,45
04/02/2020,19116,11690,498,25242,6225,0
24/10/2022,13910,8787,282,15422,4451,85
16/09/2022,13366,9265,183,15208,3998,62
11/01/2024,11477,8637,262,14897,0,63
07/10/2020,8928,5773,228,10638,0,40
25/01/2024,12196,9485,273,16331,0,76
28/02/2022,13125,6930,161,13403,5547,71
05/12/2020,3054,4333,0,6090,0,29
13/10/2021,2732,1229,28,2777,0,29
05/07/2020,1596,2702,0,3585,0,3
21/09/2020,12177,5935,200,11947,5022,49
18/09/2022,2108,3922,0,5466,0,11
20/02/2024,19124,12459,391,22628,5916,110
24/04/2024,13733,10679,359,18766,0,73
14/12/2019,3821,6422,0,8312,0,0
27/11/2019,17817,11681,432,23824,5138,135
18/10/2019,18448,12685,370,25368,5421,1
29/01/2021,9839,6673,200,11929,0,50
16/06/2020,9492,4940,152,10258,4880,3
26/05/2022,14094,9156,236,15478,4057,76
21/08/2020,10782,5601,151,10671,4802,58
06/07/2021,10113,7544,270,13375,0,41
09/05/2023,16463,11195,398,19820,5055,63
11/01/2020,3059,4677,0,6433,0,2
29/02/2024,19155,12292,353,22322,5779,108
16/07/2021,13721,8248,209,14637,4720,66
28/06/2021,9512,6550,230,12511,0,49
16/08/2022,13948,8799,230,16341,4461,46
16/05/2022,13615,7662,224,14577,4462,55
14/05/2020,4340,2420,75,5365,891,2
24/06/2023,3687,5589,0,7355,0,29
12/07/2019,12614,9413,344,18057,0,1
11/05/2021,16561,9506,347,17516,5581,90
20/06/2021,1947,3298,0,4742,0,22
26/09/2021,563,599,0,1176,0,5
12/10/2020,12751,6503,215,12624,5522,102
05/12/2022,13053,9071,259,15430,2872,63
08/08/2023,16636,11895,405,21512,3997,94
24/07/2020,11450,6212,124,11382,5209,43
03/01/2024,9006,6499,196,11081,0,46
28/09/2023,12856,11739,275,19070,0,56
21/08/2022,2075,3712,0,5306,0,19
21/09/2024,28,832,0,64,0,
11/08/2019,3707,3943,0,5770,0,1
23/02/2023,16954,11357,323,21285,5182,120
18/12/2022,2487,4070,0,5647,0,35
20/07/2024,3685,4670,0,6703,0,14
19/02/2022,3023,4443,0,5958,0,32
12/12/2020,3187,5177,0,6380,0,16
18/07/2024,12322,9647,291,16458,0,72
14/07/2022,9513,7978,200,12749,0,53
07/11/2020,2897,4034,0,5741,0,25
25/10/2023,16581,11075,363,19813,5140,60
02/04/2022,2751,4433,0,6021,0,15
07/05/2024,18103,11758,382,20829,5540,85
08/03/2020,3154,4829,0,6895,0,1
25/12/2020,172,451,0,356,0,0
01/11/2023,15949,10451,341,19032,5006,74
12/03/2024,19088,12106,398,22339,6038,101
21/10/2021,5132,2380,48,5301,0,38
10/12/2020,13171,8634,237,14607,2553,56
30/08/2020,1841,2713,0,3867,0,27
29/12/2023,6889,5020,22,7867,0,33
04/05/2024,4856,6139,0,8444,0,22
21/06/2020,1379,2289,0,3172,0,3
08/06/2021,16301,9571,334,17376,5389,66
12/03/2020,19980,12347,447,27428,6141,0
25/03/2022,13446,8656,182,15567,4428,49
22/07/2019,18376,11664,440,24147,5332,0
25/03/2021,16955,9822,328,18354,5521,88
12/12/2023,14886,10356,352,17925,1057,89
09/06/2024,2785,4826,0,6671,0,18
22/08/2023,16136,11369,356,20456,4731,72
13/08/2022,3097,4934,0,6808,0,21
26/10/2023,16819,10938,324,19802,5116,81
16/07/2023,2532,4481,0,6468,0,21
17/06/2022,12574,8810,194,14281,4069,44
08/02/2020,3711,5888,0,7675,0,0
09/08/2023,16458,12116,393,20886,4575,149
09/10/2021,954,893,0,1730,0,5
14/02/2021,2452,3681,0,5320,0,23
18/05/2020,5686,2707,85,6389,1986,0
07/04/2023,1146,2347,0,3058,0,11
26/05/2020,7414,3709,110,7828,4010,1
26/08/2020,11782,5909,175,11980,5235,37
24/01/2023,11675,8849,276,15200,0,60
01/02/2024,17873,10488,352,18306,4558,71
26/08/2023,4105,7011,0,8653,0,13
15/06/2021,15462,9377,309,16887,5069,79
18/09/2019,19573,12757,419,26092,5731,0
10/11/2019,2744,4584,0,6673,0,1
20/10/2022,15110,9605,244,17024,4531,113
06/08/2019,19528,12403,474,26649,5947,0
05/04/2023,16759,10913,355,19340,4987,84
